epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7347,4.1855,5.0878,3.81331,0,0,0,0,4.43478,5.00441,4.22912,0.000236096,0.000236096,0.000236096
2,73.5554,3.22402,3.80666,2.62659,0.4314,0.03104,0.01272,0.00409,3.00562,3.39046,2.42292,0.000469402,0.000469402,0.000469402
1,36.6112,4.38891,5.30143,4.07678,0,0,0,0,4.4703,4.91509,4.19841,0.00330667,0.00330667,0.00330667
2,75.5553,3.41776,4.12623,2.92708,0.61327,0.02003,0.0046,0.00152,3.23928,3.76983,2.89385,0.00660713,0.00660713,0.00660713
3,115.688,2.86461,3.4583,2.317,0.22752,0.06316,0.01791,0.00554,2.89831,4.49073,2.47654,0.0098746,0.0098746,0.0098746
4,155.168,2.53948,3.08433,1.99911,0.24709,0.07388,0.02817,0.01153,2.52128,3.401,2.08608,0.0098515,0.0098515,0.0098515
5,194.44,2.3244,2.79819,1.82115,0.37477,0.10988,0.03683,0.0141,2.37014,4.96239,2.04355,0.009802,0.009802,0.009802
6,238.046,2.18464,2.61953,1.71332,0.26043,0.13019,0.05673,0.02696,2.15144,3.10344,1.70122,0.0097525,0.0097525,0.0097525
7,276.871,2.10078,2.48607,1.64254,0.18073,0.12951,0.06149,0.02881,2.07163,2.57819,1.67041,0.009703,0.009703,0.009703
8,315.642,2.03725,2.40158,1.59224,0.40404,0.12388,0.06873,0.03363,2.01739,2.33162,1.6074,0.0096535,0.0096535,0.0096535
9,359.272,1.97384,2.30583,1.54786,0.22637,0.12583,0.06275,0.03033,1.98106,2.37659,1.61631,0.009604,0.009604,0.009604
10,398.763,1.94479,2.26028,1.52925,0.31592,0.13775,0.07452,0.03688,1.94242,2.17995,1.54736,0.0095545,0.0095545,0.0095545
11,437.175,1.90883,2.20769,1.50044,0.34728,0.15519,0.08992,0.0458,1.87539,2.08671,1.51847,0.009505,0.009505,0.009505
12,475.756,1.87788,2.1767,1.47816,0.33366,0.15084,0.08265,0.04213,1.86106,2.16236,1.49771,0.0094555,0.0094555,0.0094555
13,514.352,1.86693,2.13809,1.47217,0.33246,0.15334,0.08796,0.04447,1.86555,2.06084,1.51544,0.009406,0.009406,0.009406
14,553.582,1.84187,2.09671,1.44653,0.51133,0.14428,0.09332,0.0481,1.80365,2.02053,1.43835,0.0093565,0.0093565,0.0093565
15,608.425,1.81269,2.05992,1.43127,0.26817,0.16733,0.10259,0.05343,1.7682,1.96125,1.43184,0.009307,0.009307,0.009307
16,647.084,1.80293,2.02737,1.42429,0.39206,0.17445,0.11164,0.05893,1.77812,1.95029,1.42649,0.0092575,0.0092575,0.0092575
17,685.451,1.78391,2.00122,1.41149,0.36708,0.169,0.10973,0.05801,1.79371,1.93786,1.45486,0.009208,0.009208,0.009208
